iter	Passed	Remaining
591	28800	92822
592	28848	92772
593	28898	92729
594	28948	92683
595	28993	92624
596	29043	92577
597	29089	92522
598	29138	92474
599	29193	92446
600	29242	92399
601	29292	92353
602	29339	92300
603	29387	92248
604	29434	92194
605	29481	92140
606	29529	92091
607	29574	92031
608	29623	91983
609	29669	91926
610	29718	91879
611	29768	91834
612	29814	91777
613	29862	91726
614	29910	91676
615	29958	91624
616	30007	91580
617	30052	91517
618	30101	91471
619	30149	91422
620	30201	91381
621	30254	91347
622	30300	91291
623	30348	91240
624	30396	91189
625	30443	91134
626	30494	91094
627	30542	91044
628	30589	90989
629	30636	90936
630	30687	90896
631	30736	90848
632	30783	90794
633	30833	90749
634	30879	90693
635	30928	90644
636	30976	90596
637	31023	90540
638	31073	90497
639	31119	90439
640	31167	90390
641	31219	90350
642	31268	90303
643	31316	90252
644	31365	90206
645	31413	90157
646	31461	90105
647	31510	90058
648	31562	90018
649	31609	89964
650	31656	89912
651	31706	89867
652	31755	89819
653	31803	89768
654	31853	89724
655	31901	89674
656	31953	89634
657	32001	89584
658	32046	89525
659	32093	89472
660	32138	89413
661	32192	89379
662	32242	89334
663	32288	89280
664	32338	89234
665	32386	89183
666	32433	89131
667	32481	89081
668	32547	89080
669	32594	89027
670	32642	88976
671	32690	88924
672	32738	88876
673	32785	88822
674	32831	88765
675	32877	88710
676	32926	88664
677	32974	88612
678	33020	88556
679	33069	88510
680	33119	88463
681	33168	88416
682	33231	88405
683	33278	88352
684	33326	88303
685	33376	88257
686	33424	88206
687	33472	88155
688	33517	88099
689	33583	88095
690	33635	88055
691	33682	88002
692	33730	87952
693	33777	87900
694	33827	87854
695	33875	87803
696	33923	87753
697	33970	87699
698	34017	87646
699	34065	87597
700	34111	87540
701	34162	87498
702	34216	87463
703	34262	87408
704	34314	87368
705	34364	87321
706	34416	87283
707	34472	87253
708	34528	87222
709	34582	87186
710	34631	87139
711	34680	87091
712	34727	87038
713	34777	86992
714	34827	86946
715	34874	86894
716	34935	86874
717	34983	86824
718	35030	86771
719	35078	86722
720	35127	86673
721	35178	86629
722	35227	86582
723	35276	86534
724	35324	86484
725	35373	86435
726	35419	86380
727	35469	86336
728	35517	86284
729	35562	86226
730	35610	86177
731	35659	86128
732	35709	86081
733	35757	86031
734	35805	85980
735	35853	85932
736	35900	85879
737	35953	85840
738	36002	85792
739	36051	85743
740	36098	85691
741	36149	85647
742	36201	85607
743	36251	85561
744	36306	85527
745	36355	85478
746	36401	85425
747	36445	85364
748	36495	85318
749	36542	85266
750	36593	85221
751	36640	85169
752	36687	85117
753	36735	85066
754	36784	85018
755	36833	84970
756	36880	84917
757	36930	84872
758	36979	84823
759	37032	84783
760	37086	84748
761	37137	84703
762	37207	84705
763	37263	84672
764	37311	84621
765	37359	84571
766	37410	84526
767	37459	84478
768	37508	84429
769	37552	84371
770	37601	84323
771	37649	84271
772	37698	84224
773	37744	84169
774	37795	84124
775	37840	84068
776	37889	84019
777	37936	83966
778	37983	83914
779	38029	83859
780	38077	83809
781	38125	83759
782	38170	83702
783	38219	83654
784	38267	83603
785	38317	83556
786	38364	83504
787	38413	83457
788	38463	83409
789	38511	83360
790	38557	83305
791	38607	83259
792	38656	83210
793	38702	83157
794	38750	83105
795	38797	83054
796	38844	83002
797	38894	82955
798	38941	82902
799	38990	82855
800	39036	82800
801	39086	82753
802	39150	82738
803	39213	82720
804	39263	82671
805	39311	82622
806	39359	82572
807	39406	82520
808	39453	82467
809	39502	82417
810	39547	82361
811	39596	82313
812	39644	82263
813	39694	82217
814	39743	82168
815	39790	82116
816	39841	82072
817	39888	82019
818	39937	81971
819	39985	81920
820	40032	81869
821	40082	81822
